ticker,date,open,high,low,close
RPL,2022-05-16,20.6903,20.702,19.9326,20.084
RPL,2022-05-17,20.8524,20.8524,20.7189,20.7189
RPL,2022-05-18,20.8661,20.9445,19.702,19.702
RPL,2022-05-19,19.6114,19.6114,18.9924,18.9924
RPL,2022-05-20,19.8929,20.2651,19.345,19.345
RPL,2022-05-21,19.4587,19.5289,19.4587,19.5289
RPL,2022-05-22,19.7841,20.228,19.7107,19.8196
RPL,2022-05-23,20.1784,20.512,19.7418,19.7418
RPL,2022-05-24,19.5904,19.5904,19.5464,19.5464
RPL,2022-05-25,20.0435,20.0985,19.4058,19.4291
RPL,2022-05-26,18.3186,18.3186,17.9825,17.9825
RPL,2022-05-27,17.3023,17.3023,17.3023,17.3023
RPL,2022-05-28,15.4218,16.1779,15.4218,16.1779
RPL,2022-05-29,16.5693,16.5693,16.5693,16.5693
RPL,2022-05-30,17.1093,17.3851,17.1093,17.3851
RPL,2022-05-31,18.2651,18.3778,16.2318,16.2318
RPL,2022-06-01,16.2769,16.2983,16.24,16.2983
RPL,2022-06-02,15.8067,15.8858,14.8405,14.8405
RPL,2022-06-03,17.0666,17.27,15.5246,15.5246
RPL,2022-06-04,15.823,15.823,14.4097,15.4556
RPL,2022-06-05,16.1727,16.1727,15.3399,15.5743
RPL,2022-06-06,15.4878,16.7449,14.2176,16.3375
RPL,2022-06-07,16.254,16.4748,15.1124,15.2893
RPL,2022-06-08,15.2903,15.4885,14.9965,15.2405
RPL,2022-06-09,15.2353,18.211,14.733,14.733
RPL,2022-06-10,14.89,15.7651,14.7714,14.7714
RPL,2022-06-11,14.5553,14.5553,12.4093,12.8954
RPL,2022-06-12,12.4476,12.4476,11.1708,11.7331
RPL,2022-06-13,12.1636,12.1636,9.46089,9.46089
RPL,2022-06-14,9.45836,9.45836,9.19792,9.30261
RPL,2022-06-15,9.17403,9.28931,9.0358,9.22279
RPL,2022-06-16,9.987,9.987,9.56315,9.60763
RPL,2022-06-17,9.6261,9.6261,9.30091,9.37968
RPL,2022-06-18,9.44618,9.44618,8.9838,9.05321
RPL,2022-06-19,8.96616,9.04174,8.88933,8.94565
